plot;species;dbh
1;Eugenia uniflora;14,22845191
1;Banara tomentosa;6,079718826
1;Sebastiania commersoniana;19,21959205
1;Banara tomentosa;5,474930042
1;Strychnos brasiliensis;9,963099438
1;Myrcia glomerata;5,315775099
1;Eugenia uniflora;22,44084698
1;Blepharocalyx salicifolius;18,71662131
1;Eugenia uniflora;5,98422586
1;Allophylus edulis;7,193803428
1;Eugenia uniflora;12,2613778
1;Blepharocalyx salicifolius;8,498873961
1;Nectandra megapotamica;34,34563672
1;Allophylus edulis;7,925916166
1;Eugenia uniflora;8,05324012
1;Eugenia uniflora;9,45380362
1;Banara tomentosa;9,867606472
1;Campomanesia xanthocarpa;7,321127382
1;Eugenia pyriformis;34,53038791
1;Eugenia uniflora;11,33183195
1;Eugenia uniflora;14,80055401
1;Sebastiania commersoniana;29,44366447
1;Blepharocalyx salicifolius;7,416620348
2;Nectandra megapotamica;6,429859701
2;Allophylus edulis;12,3185926
2;Allophylus edulis;27,53380515
2;Allophylus edulis;14,96056465
2;Eugenia uniflora;5,220282133
2;Eugenia uniflora;15,1388396
2;Sebastiania commersoniana;7,989578143
2;Scutia buxifolia;16,71126902
2;Nectandra megapotamica;5,506761031
2;Nectandra megapotamica;7,925916166
2;Nectandra megapotamica;13,49633917
2;Scutia buxifolia;6,525352667
2;Scutia buxifolia;6,471092024
2;Annona rugulosa;12,79605742
2;Allophylus edulis;18,97126922
2;Sebastiania commersoniana;18,39831142
2;Nectandra megapotamica;24,35070629
2;Myrrhinium atropurpureum;5,252113122
2;Myrrhinium atropurpureum;9,644789551
3;Sebastiania commersoniana;16,05809492
3;Sebastiania commersoniana;29,87375166
3;Sebastiania commersoniana;7,066479473
3;Sebastiania commersoniana;15,34253651
3;Sebastiania commersoniana;22,19341353
3;Sebastiania commersoniana;7,862254189
3;Casearia decandra;5,092958179
3;Allophylus edulis;8,912676813
3;Casearia decandra;5,729577951
3;Blepharocalyx salicifolius;45,27167881
3;Sebastiania commersoniana;20,37183272
